"","SURVEY_SERIES_ID","YEAR","relBio","catch","species","surveyName","stockName"
"1",1,2003,1.80791438259523,0.00274575,"dover","QCSSyn","QCS"
"2",1,2004,2.54877450398426,0.00330688,"dover","QCSSyn","QCS"
"3",1,2005,1.85395925941405,0.002688,"dover","QCSSyn","QCS"
"4",1,2007,0.87627586037505,0.00129816,"dover","QCSSyn","QCS"
"5",1,2009,1.03575746683138,0.00150089,"dover","QCSSyn","QCS"
"6",1,2011,1.67524477525841,0.0022437,"dover","QCSSyn","QCS"
"7",1,2013,1.77411045969947,0.00237451,"dover","QCSSyn","QCS"
"8",1,2015,2.16621249907401,0.00270406,"dover","QCSSyn","QCS"
"9",3,2005,3.17506344323758,0.00365155,"dover","HSSyn","HSHG"
"10",3,2007,2.71740195841006,0.00304626,"dover","HSSyn","HSHG"
"11",3,2009,2.08982210902378,0.00291465,"dover","HSSyn","HSHG"
"12",3,2011,4.21318088036395,0.0061987,"dover","HSSyn","HSHG"
"13",3,2013,4.4771145618731,0.00619851,"dover","HSSyn","HSHG"
"14",3,2015,3.26162926199884,0.00570686,"dover","HSSyn","HSHG"
"15",4,2004,2.6659198438796,0.00268497,"dover","WCVISyn","WCVI"
"16",4,2006,1.75917435981297,0.00444765,"dover","WCVISyn","WCVI"
"17",4,2008,2.06680894731624,0.00568647,"dover","WCVISyn","WCVI"
"18",4,2010,1.87060103559517,0.00293339,"dover","WCVISyn","WCVI"
"19",4,2012,1.40309487196248,0.00301241,"dover","WCVISyn","WCVI"
"20",4,2014,2.06312828210527,0.0041509,"dover","WCVISyn","WCVI"
"21",4,2016,1.97062808702496,0.00403968,"dover","WCVISyn","WCVI"
"22",16,2006,0.370464282744651,0.00128128,"dover","WCHGSyn","HSHG"
"23",16,2007,0.544020602458732,0.00154198,"dover","WCHGSyn","HSHG"
"24",16,2008,0.440100412619185,0.00219824,"dover","WCHGSyn","HSHG"
"25",16,2010,0.308991219945665,0.00123051,"dover","WCHGSyn","HSHG"
"26",16,2012,0.180806320888869,0.00074251,"dover","WCHGSyn","HSHG"
"27",16,2014,1.21240751233815,0.00166202,"dover","WCHGSyn","HSHG"
"28",16,2016,0.427926562379666,0.00085292,"dover","WCHGSyn","HSHG"
"29",2,1984,1.57453885177266,0.002292,"dover","HSAss","HSHG"
"30",2,1987,1.81957806670816,0.001556,"dover","HSAss","HSHG"
"31",2,1989,3.74947456412071,0.003282,"dover","HSAss","HSHG"
"32",2,1991,2.7238777139758,0.003913,"dover","HSAss","HSHG"
"33",2,1993,3.46495943249985,0.003069,"dover","HSAss","HSHG"
"34",2,1995,0.919965244595467,0.000988,"dover","HSAss","HSHG"
"35",2,1996,1.45964092658924,0.001434,"dover","HSAss","HSHG"
"36",2,1998,2.91044536142881,0.003751,"dover","HSAss","HSHG"
"37",2,2000,6.85141689549035,0.003488,"dover","HSAss","HSHG"
"38",2,2002,6.53128642592667,0.00546458,"dover","HSAss","HSHG"
"39",2,2003,4.54326811567609,0.00463791,"dover","HSAss","HSHG"
